Latitude,Longitude
37.795494,-122.402185
37.795335,-122.401836
37.794511,-122.403843
37.795183,-122.397395
37.793005,-122.405228
37.79315,-122.40489
37.79224,-122.403705
37.792661,-122.400274
37.79383,-122.39903
37.79384,-122.398637
37.792616,-122.398759
37.794302,-122.39736
37.793511,-122.39714
37.79299,-122.39787
37.791635,-122.398805
37.791208,-122.399951
37.790723,-122.401112
37.790306,-122.402583
37.789738,-122.403019
37.78897,-122.402687
37.789419,-122.400768
37.78986,-122.400345